experiment_id,malicious_fraction,attack_type,use_robust,use_client_scoring,num_clients,feature_dim,num_runs,mean_deviation,std_deviation,max_deviation,tpr,fpr,precision,f1
0,0.0,none,True,True,10,64,3,0.009831008188368134,0.6284607457368034,1.389176172828515,0.0,0.0,0.0,0.0
1,0.0,none,True,False,10,64,3,0.009831008188368134,0.6284607457368034,1.389176172828515,0.0,0.0,0.0,0.0
2,0.0,none,False,False,10,64,3,0.00236264347013304,0.059027404438314925,4.64377670322192,0.0,0.0,0.0,0.0
3,0.1,scaling,True,True,10,64,3,0.011274016446611518,0.5864000031656503,1.5725543560291062,1.0,0.0,1.0,1.0
4,0.1,scaling,True,False,10,64,3,0.011274016446611518,0.5864000031656503,1.5725543560291062,0.0,0.0,0.0,0.0
5,0.1,scaling,False,False,10,64,3,0.19441895687543673,43.94614192099848,377.749290602544,0.0,0.0,0.0,0.0
6,0.1,noise,True,True,10,64,3,0.011092182300951084,0.5903989375672624,1.5725543560291062,1.0,0.0,1.0,1.0
7,0.1,noise,True,False,10,64,3,0.011092182300951084,0.5903989375672624,1.5725543560291062,0.0,0.0,0.0,0.0
8,0.1,noise,False,False,10,64,3,0.019927237896548336,4.033943259632651,41.55242196627984,0.0,0.0,0.0,0.0
9,0.1,sign_flip,True,True,10,64,3,0.007716275835739851,0.6259913232055198,1.3572340007730246,0.0,0.0,0.0,0.0
10,0.1,sign_flip,True,False,10,64,3,0.007716275835739851,0.6259913232055198,1.3572340007730246,0.0,0.0,0.0,0.0
11,0.1,sign_flip,False,False,10,64,3,0.004003926522190576,0.05885955825825584,4.64377670322192,0.0,0.0,0.0,0.0
12,0.2,scaling,True,True,10,64,3,0.010320831403073006,0.5333518694160467,1.9627034562276144,0.0,0.0,0.0,0.0
13,0.2,scaling,True,False,10,64,3,0.010320831403073006,0.5333518694160467,1.9627034562276144,0.0,0.0,0.0,0.0
14,0.2,scaling,False,False,10,64,3,0.3369235180185541,62.47966380777567,406.70057456327595,0.0,0.0,0.0,0.0
15,0.2,noise,True,True,10,64,3,0.011005542152589263,0.5423045176428118,1.9627034562276144,0.0,0.0,0.0,0.0
16,0.2,noise,True,False,10,64,3,0.011005542152589263,0.5423045176428118,1.9627034562276144,0.0,0.0,0.0,0.0
17,0.2,noise,False,False,10,64,3,0.03576819940168475,6.031629290756132,44.737063201960346,0.0,0.0,0.0,0.0
18,0.2,sign_flip,True,True,10,64,3,0.008744579815127185,0.624131109376329,1.4493929202366147,0.0,0.0,0.0,0.0
19,0.2,sign_flip,True,False,10,64,3,0.008744579815127185,0.624131109376329,1.4493929202366147,0.0,0.0,0.0,0.0
20,0.2,sign_flip,False,False,10,64,3,0.0065826620494481266,0.0591090472952062,4.64377670322192,0.0,0.0,0.0,0.0
21,0.3,scaling,True,True,10,64,3,0.011665951576443205,0.4615945642782216,2.2812296688840394,0.0,0.0,0.0,0.0
22,0.3,scaling,True,False,10,64,3,0.011665951576443205,0.4615945642782216,2.2812296688840394,0.0,0.0,0.0,0.0
23,0.3,scaling,False,False,10,64,3,0.19601431179296305,76.71973843902258,423.43562017191806,0.0,0.0,0.0,0.0
24,0.3,noise,True,True,10,64,3,0.012065636758774012,0.4796270379825252,2.2812296688840394,0.0,0.0,0.0,0.0
25,0.3,noise,True,False,10,64,3,0.012065636758774012,0.4796270379825252,2.2812296688840394,0.0,0.0,0.0,0.0
26,0.3,noise,False,False,10,64,3,0.020453100038542154,7.576535166807211,46.57791821891098,0.0,0.0,0.0,0.0
27,0.3,sign_flip,True,True,10,64,3,0.007660963159985612,0.6247511599311822,1.3377388232255116,0.0,0.0,0.0,0.0
28,0.3,sign_flip,True,False,10,64,3,0.007660963159985612,0.6247511599311822,1.3377388232255116,0.0,0.0,0.0,0.0
29,0.3,sign_flip,False,False,10,64,3,0.0037470931783057985,0.05880171854522979,4.64377670322192,0.0,0.0,0.0,0.0
30,0.4,scaling,True,True,10,64,3,0.01435240523116396,0.3508150938306576,2.6061623766489324,0.0,0.0,0.0,0.0
31,0.4,scaling,True,False,10,64,3,0.01435240523116396,0.3508150938306576,2.6061623766489324,0.0,0.0,0.0,0.0
32,0.4,scaling,False,False,10,64,3,0.47706618557902836,88.71602400174618,423.43562017191806,0.0,0.0,0.0,0.0
33,0.4,noise,True,True,10,64,3,0.014402141145788791,0.387950893584907,2.3813758216348346,0.0,0.0,0.0,0.0
34,0.4,noise,True,False,10,64,3,0.014402141145788791,0.387950893584907,2.3813758216348346,0.0,0.0,0.0,0.0
35,0.4,noise,False,False,10,64,3,0.05356291495513704,8.881129555478376,46.57791821891098,0.0,0.0,0.0,0.0
36,0.4,sign_flip,True,True,10,64,3,0.0077144412844579345,0.6252039010418343,1.3083525290510944,0.0,0.0,0.0,0.0
37,0.4,sign_flip,True,False,10,64,3,0.0077144412844579345,0.6252039010418343,1.3083525290510944,0.0,0.0,0.0,0.0
38,0.4,sign_flip,False,False,10,64,3,0.00450285614230581,0.05862740160954886,4.64377670322192,0.0,0.0,0.0,0.0
